state,jjm_district,jjm_block,jjm_panchayat_id,jjm_panchayat,jjm_village_id,jjm_village,lgd_village_id,lgd_village,district_from_header,source_file,serial_no,shrug_village_id,shrug_shrid2,shrug_village_name,shrug_district,shrug_subdistrict,shrug_lgd_gp_code,shrug_gp_name
Karnataka,BENGALURU RURAL,Devanhalli,59883,Anneshwara,142330,AKLENAHALLY-MALLENAHALLY,625401,Akkalenahalli Mallena - Halli,BENGALURU RURAL,BENGALURU RURAL.xls,11,625401.0,11-29-583-05603-625401,akkalenahalli mallena halli,bangalore rural,devanahalli,215424.0,Anneshwara
Karnataka,BENGALURU RURAL,Hoskote,59923,DODDANALLALA,142681,ALAGONDANAHALLI,625628,Alagondahalli,BENGALURU RURAL,BENGALURU RURAL.xls,12,625628.0,11-29-583-05604-625628,alagondahalli,bangalore rural,hosakote,215479.0,Doddanallala
Karnataka,BENGALURU RURAL,Nelamangala,60029,Kalalaghatta,143506,ALANAYAKANA HALLI,624830,Alunaikanahalli,BENGALURU RURAL,BENGALURU RURAL.xls,13,624830.0,11-29-583-05601-624830,alunaikanahalli,bangalore rural,nelamangala,215583.0,Kalalaghatta
Karnataka,BENGALURU RURAL,Hoskote,59931,Kumbalahalli,142761,ALAPPANAHALLY,625684,Alappanahalli,BENGALURU RURAL,BENGALURU RURAL.xls,14,625684.0,11-29-583-05604-625684,alappanahalli,bangalore rural,hosakote,215488.0,Kumbalahalli
Karnataka,BENGALURU RURAL,Dodballapur,59892,Bhaktarahalli,142406,ALAPPANAHALLY,624990,Alappanahalli,BENGALURU RURAL,BENGALURU RURAL.xls,15,624990.0,11-29-583-05602-624990,alappanahalli,bangalore rural,dod ballapur,215448.0,Bhaktarahalli
Karnataka,BENGALURU RURAL,Dodballapur,59889,ARALUMALLIGE,142372,ALLAHALLI,625118,Alahalli,BENGALURU RURAL,BENGALURU RURAL.xls,16,625118.0,11-29-583-05602-625118,alahalli,bangalore rural,dod ballapur,215445.0,Aralumallige
Karnataka,BENGALURU RURAL,Dodballapur,59906,KANTANAKUNTE,142523,ALLASANDRA,625037,Allalasandra,BENGALURU RURAL,BENGALURU RURAL.xls,17,625037.0,11-29-583-05602-625037,allalasandra,bangalore rural,dod ballapur,215462.0,Kantanakunte
Karnataka,BENGALURU RURAL,Devanhalli,299517,Alooru Duddanahalli,142215,ALURUDUDDANAHALLY,625278,Alurdoddanahalli,BENGALURU RURAL,BENGALURU RURAL.xls,18,625278.0,11-29-583-05603-625278,alurdoddanahalli,bangalore rural,devanahalli,272721.0,Alooru Duddanahalli
Karnataka,BENGALURU RURAL,Dodballapur,59903,HULIKUNTE,142495,AMBALIGERE,625191,Ambalagere,BENGALURU RURAL,BENGALURU RURAL.xls,19,625191.0,11-29-583-05602-625191,ambalagere,bangalore rural,dod ballapur,215459.0,Hulikunte
Karnataka,BENGALURU RURAL,Hoskote,59937,OROHALLI,142824,AMBALIPURA,625633,Ambalipura,BENGALURU RURAL,BENGALURU RURAL.xls,20,625633.0,11-29-583-05604-625633,ambalipura,bangalore rural,hosakote,215494.0,Orohalli
Karnataka,BENGALURU RURAL,Nelamangala,60011,Bhodihal,143303,ANANTHAPURA,624878,Ananthapura,BENGALURU RURAL,BENGALURU RURAL.xls,21,624878.0,11-29-583-05601-624878,ananthapura,bangalore rural,nelamangala,215579.0,Bhodihal
Karnataka,BENGALURU RURAL,Devanhalli,59875,BIDALURU,142268,ANIGATTA,625369,Anighatta,BENGALURU RURAL,BENGALURU RURAL.xls,22,625369.0,11-29-583-05603-625369,anighatta,bangalore rural,devanahalli,215427.0,Bidaluru
Karnataka,BENGALURU RURAL,Dodballapur,59892,Bhaktarahalli,142405,ANKONAHALLY,624994,Ankonahalli,BENGALURU RURAL,BENGALURU RURAL.xls,23,624994.0,11-29-583-05602-624994,ankonahalli,bangalore rural,dod ballapur,215448.0,Bhaktarahalli
Karnataka,BENGALURU RURAL,Hoskote,59925,Giddappanahalli,142711,ANKONAHALLY,625487,Ankonahalli,BENGALURU RURAL,BENGALURU RURAL.xls,24,625487.0,11-29-583-05604-625487,ankonahalli,bangalore rural,hosakote,215482.0,Giddappanahalli
Karnataka,BENGALURU RURAL,Devanhalli,59883,Anneshwara,142320,ANNESWARA,625407,Anneswara,BENGALURU RURAL,BENGALURU RURAL.xls,25,625407.0,11-29-583-05603-625407,anneswara,bangalore rural,devanahalli,215424.0,Anneshwara
Karnataka,BENGALURU RURAL,Dodballapur,59906,KANTANAKUNTE,142522,ANTHRAHALLY,625038,Antharahalli,BENGALURU RURAL,BENGALURU RURAL.xls,26,625038.0,11-29-583-05602-625038,antharahalli,bangalore rural,dod ballapur,215462.0,Kantanakunte
Karnataka,BENGALURU RURAL,Hoskote,59918,Anugondanahalli,142635,ANUGONDANAHALLY,625730,Anugondahalli,BENGALURU RURAL,BENGALURU RURAL.xls,27,625730.0,11-29-583-05604-625730,anugondahalli,bangalore rural,hosakote,215474.0,Anugondanahalli
Karnataka,BENGALURU RURAL,Hoskote,59926,ITTASANDRA,142722,ANUPALLY,625470,Anupahalli,BENGALURU RURAL,BENGALURU RURAL.xls,28,625470.0,11-29-583-05604-625470,anupahalli,bangalore rural,hosakote,215483.0,Ittasandra
Karnataka,BENGALURU RURAL,Nelamangala,60028,MANNE,143493,APPAGONDANAHALLI,624790,Appagondanahalli,BENGALURU RURAL,BENGALURU RURAL.xls,29,624790.0,11-29-583-05601-624790,appagondanahalli,bangalore rural,nelamangala,215586.0,Manne
Karnataka,BENGALURU RURAL,Hoskote,59938,Samethanahalli,142829,APPAJIPURA,625714,Appajipura,BENGALURU RURAL,BENGALURU RURAL.xls,30,625714.0,11-29-583-05604-625714,appajipura,bangalore rural,hosakote,215495.0,Samethanahalli
Karnataka,BENGALURU RURAL,Dodballapur,59903,HULIKUNTE,142493,APPAKARANAHALLY,625186,Appkarenahalli,BENGALURU RURAL,BENGALURU RURAL.xls,31,625186.0,11-29-583-05602-625186,appkarenahalli,bangalore rural,dod ballapur,215459.0,Hulikunte
Karnataka,BENGALURU RURAL,Hoskote,59923,DODDANALLALA,142680,APPASANDRA,625631,Appasandra,BENGALURU RURAL,BENGALURU RURAL.xls,32,625631.0,11-29-583-05604-625631,appasandra,bangalore rural,hosakote,215479.0,Doddanallala
Karnataka,BENGALURU RURAL,Devanhalli,59872,JALIGE,588410,ARADESHANAHALLI,625291,Aradeshahalli,BENGALURU RURAL,BENGALURU RURAL.xls,33,625291.0,11-29-583-05603-625291,aradeshahalli,bangalore rural,devanahalli,215435.0,Jalige
Karnataka,BENGALURU RURAL,Nelamangala,60012,T. BEGUR,143322,ARALASANDRA,624898,Aralasandra,BENGALURU RURAL,BENGALURU RURAL.xls,34,624898.0,11-29-583-05601-624898,aralasandra,bangalore rural,nelamangala,215593.0,T.Begur
Karnataka,BENGALURU RURAL,Nelamangala,60012,T. BEGUR,143319,ARALEDIBBA,624895,Araledibba,BENGALURU RURAL,BENGALURU RURAL.xls,35,624895.0,11-29-583-05601-624895,araledibba,bangalore rural,nelamangala,215593.0,T.Begur
Karnataka,BENGALURU RURAL,Dodballapur,59889,ARALUMALLIGE,142369,ARALUMALLIGE,625119,Aralamallige,BENGALURU RURAL,BENGALURU RURAL.xls,36,625119.0,11-29-583-05602-625119,aralamallige,bangalore rural,dod ballapur,215445.0,Aralumallige
Karnataka,BENGALURU RURAL,Hoskote,59925,Giddappanahalli,142710,ARASANAHALLY,625488,Arasanahalli,BENGALURU RURAL,BENGALURU RURAL.xls,37,625488.0,11-29-583-05604-625488,arasanahalli,bangalore rural,hosakote,215482.0,Giddappanahalli
Karnataka,BENGALURU RURAL,Devanhalli,59869,KUNDANA,142202,ARASANAHALLY PEDDANAHALLY,625304,Arasanahalli Peddanahalli,BENGALURU RURAL,BENGALURU RURAL.xls,38,625304.0,11-29-583-05603-625304,arasanahalli peddanahalli,bangalore rural,devanahalli,215440.0,Kundana
Karnataka,BENGALURU RURAL,Nelamangala,60015,AREBOMMANAHALLI,143340,AREBOMMANAHALLI,624837,Arebommanahalli,BENGALURU RURAL,BENGALURU RURAL.xls,39,624837.0,11-29-583-05601-624837,arebommanahalli,bangalore rural,nelamangala,215576.0,Arebommanahalli
Karnataka,BENGALURU RURAL,Hoskote,59936,NELAVAGILU,142810,AREHALLY,625750,Arehalli,BENGALURU RURAL,BENGALURU RURAL.xls,40,625750.0,11-29-583-05604-625750,arehalli,bangalore rural,hosakote,215493.0,Nelavagilu
Karnataka,BENGALURU RURAL,Devanhalli,59868,NALLURU,588424,ARISINAKUNTE,938780,ARISHINAKUNTE,BENGALURU RURAL,BENGALURU RURAL.xls,41,,,,,,,
Karnataka,BENGALURU RURAL,Nelamangala,60029,Kalalaghatta,143505,ARIVESANDRA,624829,Harvesandra,BENGALURU RURAL,BENGALURU RURAL.xls,42,624829.0,11-29-583-05601-624829,harvesandra,bangalore rural,nelamangala,215583.0,Kalalaghatta
Karnataka,BENGALURU RURAL,Nelamangala,299572,GOLLAHALLI,143460,ARJUNABETTAHALLI,624866,Arjunabettahalli,BENGALURU RURAL,BENGALURU RURAL.xls,43,624866.0,11-29-583-05601-624866,arjunabettahalli,bangalore rural,nelamangala,272726.0,Gollahalli
Karnataka,BENGALURU RURAL,Dodballapur,59890,Arudi,142380,ARODI,624954,Aroodi,BENGALURU RURAL,BENGALURU RURAL.xls,44,624954.0,11-29-583-05602-624954,aroodi,bangalore rural,dod ballapur,215446.0,Arudi
Karnataka,BENGALURU RURAL,Devanhalli,59884,KOIRA,142334,ARUVANAHALLY,625268,Aruvanahalli,BENGALURU RURAL,BENGALURU RURAL.xls,45,625268.0,11-29-583-05603-625268,aruvanahalli,bangalore rural,devanahalli,215438.0,Koira
Karnataka,BENGALURU RURAL,Devanhalli,59878,AVATHI,142298,ATTIBELE,625372,Attibele,BENGALURU RURAL,BENGALURU RURAL.xls,46,625372.0,11-29-583-05603-625372,attibele,bangalore rural,devanahalli,215425.0,Avathi
Karnataka,BENGALURU RURAL,Hoskote,59925,Giddappanahalli,142704,ATTIBELE,625510,Attibele,BENGALURU RURAL,BENGALURU RURAL.xls,47,625510.0,11-29-583-05604-625510,attibele,bangalore rural,hosakote,215482.0,Giddappanahalli
Karnataka,BENGALURU RURAL,Hoskote,59937,OROHALLI,142815,ATTIVATTA,625635,Attivatta,BENGALURU RURAL,BENGALURU RURAL.xls,48,625635.0,11-29-583-05604-625635,attivatta,bangalore rural,hosakote,215494.0,Orohalli
Karnataka,BENGALURU RURAL,Hoskote,59933,MUGABALA,142774,ATTURU,625620,Attur,BENGALURU RURAL,BENGALURU RURAL.xls,49,625620.0,11-29-583-05604-625620,attur,bangalore rural,hosakote,215490.0,Mugabala
Karnataka,BENGALURU RURAL,Nelamangala,60023,SOLADEVANAHALLI,143443,AVALA KUPPE,624937,Avalakuppe,BENGALURU RURAL,BENGALURU RURAL.xls,50,624937.0,11-29-583-05601-624937,avalakuppe,bangalore rural,nelamangala,215590.0,Soladevanahalli
Karnataka,BENGALURU RURAL,Devanhalli,59878,AVATHI,142296,AVATHI,625359,Avathi,BENGALURU RURAL,BENGALURU RURAL.xls,51,625359.0,11-29-583-05603-625359,avathi,bangalore rural,devanahalli,215425.0,Avathi
Karnataka,BENGALURU RURAL,Nelamangala,60019,HONNENAHALLI,143392,AVVERAHALLI,624760,Avverahalli,BENGALURU RURAL,BENGALURU RURAL.xls,52,624760.0,11-29-583-05601-624760,avverahalli,bangalore rural,nelamangala,215582.0,Honnenahalli
Karnataka,BENGALURU RURAL,Devanhalli,59869,KUNDANA,142211,BACHAHALLY,625282,Bachahalli,BENGALURU RURAL,BENGALURU RURAL.xls,53,625282.0,11-29-583-05603-625282,bachahalli,bangalore rural,devanahalli,215440.0,Kundana
Karnataka,BENGALURU RURAL,Dodballapur,59897,Hadonahalli,142429,BACHAHALLY,625040,Bachchahalli,BENGALURU RURAL,BENGALURU RURAL.xls,54,625040.0,11-29-583-05602-625040,bachchahalli,bangalore rural,dod ballapur,215453.0,Hadonahalli
Karnataka,BENGALURU RURAL,Hoskote,59929,KAMBALIPURA,142741,BAGALURU,625531,Bagalur,BENGALURU RURAL,BENGALURU RURAL.xls,55,625531.0,11-29-583-05604-625531,bagalur,bangalore rural,hosakote,215486.0,Kambalipura
Karnataka,BENGALURU RURAL,Hoskote,59924,GANAGALURU,142701,BAGUR,625754,Bagur,BENGALURU RURAL,BENGALURU RURAL.xls,56,625754.0,11-29-583-05604-625754,bagur,bangalore rural,hosakote,215481.0,Ganagaluru
Karnataka,BENGALURU RURAL,Hoskote,59943,Doddaralagere,142873,BALENAHALLI,625477,Balenahalli,BENGALURU RURAL,BENGALURU RURAL.xls,57,625477.0,11-29-583-05604-625477,balenahalli,bangalore rural,hosakote,215480.0,Doddaralagere
Karnataka,BENGALURU RURAL,Devanhalli,59868,NALLURU,142195,BALEPURA,625447,Balepura,BENGALURU RURAL,BENGALURU RURAL.xls,58,625447.0,11-29-583-05603-625447,balepura,bangalore rural,devanahalli,215441.0,Nalluru
Karnataka,BENGALURU RURAL,Nelamangala,60026,KODIGEHALLI,143468,BALLAGERE,624799,Ballagere,BENGALURU RURAL,BENGALURU RURAL.xls,59,624799.0,11-29-583-05601-624799,ballagere,bangalore rural,nelamangala,215584.0,Kodigehalli
Karnataka,BENGALURU RURAL,Hoskote,59935,NANDAGUDI,142797,BANAHALLY,625675,Banahalli,BENGALURU RURAL,BENGALURU RURAL.xls,60,,,,,,,
Karnataka,BENGALURU RURAL,Hoskote,299571,HETTAKKI,142856,BANAMAKANHALLY,625603,Banamakanahalli,BENGALURU RURAL,BENGALURU RURAL.xls,61,625603.0,11-29-583-05604-625603,banamakanahalli,bangalore rural,hosakote,272724.0,Hettakki
Karnataka,BENGALURU RURAL,Hoskote,59920,DEVANAGUNDI,142651,BANARAHALLY,625747,Banarahalli,BENGALURU RURAL,BENGALURU RURAL.xls,62,625747.0,11-29-583-05604-625747,banarahalli,bangalore rural,hosakote,215476.0,Devanagundi
Karnataka,BENGALURU RURAL,Nelamangala,60023,SOLADEVANAHALLI,143436,BANASAVADI,624943,Banasavadi,BENGALURU RURAL,BENGALURU RURAL.xls,63,624943.0,11-29-583-05601-624943,banasavadi,bangalore rural,nelamangala,215590.0,Soladevanahalli
Karnataka,BENGALURU RURAL,Dodballapur,59890,Arudi,142376,BANAVATHI,624953,Banavathi,BENGALURU RURAL,BENGALURU RURAL.xls,64,624953.0,11-29-583-05602-624953,banavathi,bangalore rural,dod ballapur,215446.0,Arudi
Karnataka,BENGALURU RURAL,Hoskote,299571,HETTAKKI,142855,BANDAHALLI,625571,Bandahalli,BENGALURU RURAL,BENGALURU RURAL.xls,65,625571.0,11-29-583-05604-625571,bandahalli,bangalore rural,hosakote,272724.0,Hettakki
Karnataka,BENGALURU RURAL,Dodballapur,59902,Hosahalli,142483,BANKENAHALLY,624963,Bankenahalli,BENGALURU RURAL,BENGALURU RURAL.xls,66,624963.0,11-29-583-05602-624963,bankenahalli,bangalore rural,dod ballapur,215458.0,Hosahalli
Karnataka,BENGALURU RURAL,Devanhalli,299517,Alooru Duddanahalli,142214,BANNIMANGALA,625279,Bannimangala,BENGALURU RURAL,BENGALURU RURAL.xls,67,625279.0,11-29-583-05603-625279,bannimangala,bangalore rural,devanahalli,272721.0,Alooru Duddanahalli
Karnataka,BENGALURU RURAL,Nelamangala,60011,Bhodihal,143310,BARADI,624861,Bardi,BENGALURU RURAL,BENGALURU RURAL.xls,68,624861.0,11-29-583-05601-624861,bardi,bangalore rural,nelamangala,215579.0,Bhodihal
Karnataka,BENGALURU RURAL,Nelamangala,60019,HONNENAHALLI,143393,BARAGENAHALLI,624754,Bargenahalli,BENGALURU RURAL,BENGALURU RURAL.xls,69,624754.0,11-29-583-05601-624754,bargenahalli,bangalore rural,nelamangala,215582.0,Honnenahalli
Karnataka,BENGALURU RURAL,Nelamangala,60018,MARALAKUNTE,143387,BARAGURU,624717,Baragoor,BENGALURU RURAL,BENGALURU RURAL.xls,70,624717.0,11-29-583-05601-624717,baragoor,bangalore rural,nelamangala,215587.0,Maralakunte
Karnataka,BENGALURU RURAL,Nelamangala,60022,SHIVAGANGE,143427,BASAVA PATNA,624766,HURIYAPPANAPALYA,BENGALURU RURAL,BENGALURU RURAL.xls,71,624766.0,11-29-583-05601-624766,basavapatna,bangalore rural,nelamangala,215589.0,Shivagange
Karnataka,BENGALURU RURAL,Nelamangala,60030,YENTAGANAHALLI,143516,BATTARAHALLI,624931,Bhattarahalli,BENGALURU RURAL,BENGALURU RURAL.xls,72,624931.0,11-29-583-05601-624931,bhattarahalli,bangalore rural,nelamangala,215596.0,Yentaganahalli
Karnataka,BENGALURU RURAL,Devanhalli,59882,G.CHOWDAPANAHALLY,142317,BATTRAMARANAHALLY,625456,Bhatramarenahalli,BENGALURU RURAL,BENGALURU RURAL.xls,73,625456.0,11-29-583-05603-625456,bhatramarenahalli,bangalore rural,devanahalli,215432.0,Gangavara Chowdappanahalli
Karnataka,BENGALURU RURAL,Devanhalli,59877,Godlumuddena Halli,142285,BATTRENAHALLY,625341,Bhattrenahalli,BENGALURU RURAL,BENGALURU RURAL.xls,74,625341.0,11-29-583-05603-625341,bhattrenahalli,bangalore rural,devanahalli,215433.0,Godlumuddena Halli
Karnataka,BENGALURU RURAL,Hoskote,59943,Doddaralagere,142876,BAVAPURA,625499,Bavapura,BENGALURU RURAL,BENGALURU RURAL.xls,75,625499.0,11-29-583-05604-625499,bavapura,bangalore rural,hosakote,215480.0,Doddaralagere
Karnataka,BENGALURU RURAL,Nelamangala,60030,YENTAGANAHALLI,143528,BAVI KERE,624915,Bhavikere,BENGALURU RURAL,BENGALURU RURAL.xls,76,624915.0,11-29-583-05601-624915,bhavikere,bangalore rural,nelamangala,215596.0,Yentaganahalli
Karnataka,BENGALURU RURAL,Nelamangala,60023,SOLADEVANAHALLI,143435,BEEDANA PALYA,624934,Bidanapalya,BENGALURU RURAL,BENGALURU RURAL.xls,77,624934.0,11-29-583-05601-624934,bidanapalya,bangalore rural,nelamangala,215590.0,Soladevanahalli
Karnataka,BENGALURU RURAL,Devanhalli,59874,CHANNARAYAPATNA,142259,BEEDIGANAHALLY,625415,Bediganahalli,BENGALURU RURAL,BENGALURU RURAL.xls,78,625415.0,11-29-583-05603-625415,bediganahalli,bangalore rural,devanahalli,215430.0,Channarayapatna
Karnataka,BENGALURU RURAL,Dodballapur,59911,MELEKOTE,142558,BEEDIKERE,625070,Beedikere,BENGALURU RURAL,BENGALURU RURAL.xls,79,625070.0,11-29-583-05602-625070,beedikere,bangalore rural,dod ballapur,215467.0,Melekote
Karnataka,BENGALURU RURAL,Dodballapur,59900,Heggadihalli,142456,BEEDIKERE AGRAHARA,625071,Beedikere Agrahara,BENGALURU RURAL,BENGALURU RURAL.xls,80,625071.0,11-29-583-05602-625071,beedikere agrahara,bangalore rural,dod ballapur,215456.0,Heggadihalli
Karnataka,BENGALURU RURAL,Hoskote,59939,SHIVANAPURA,142832,BEEMAPURA,625587,Bheemapura,BENGALURU RURAL,BENGALURU RURAL.xls,81,625587.0,11-29-583-05604-625587,bheemapura,bangalore rural,hosakote,215496.0,Shivanapura
Karnataka,BENGALURU RURAL,Nelamangala,60020,AGALAKUPPE,143402,BEERAGONDANAHALI,624806,Biragundanahalli,BENGALURU RURAL,BENGALURU RURAL.xls,82,624806.0,11-29-583-05601-624806,biragundanahalli,bangalore rural,nelamangala,215575.0,Agalakuppe
Karnataka,BENGALURU RURAL,Nelamangala,60028,MANNE,143489,BEERAGONDANAHALLI,624731,Biragondanahalli,BENGALURU RURAL,BENGALURU RURAL.xls,83,624731.0,11-29-583-05601-624731,biragondanahalli,bangalore rural,nelamangala,215586.0,Manne
Karnataka,BENGALURU RURAL,Hoskote,299571,HETTAKKI,142857,BEERAHALLI,625596,Beerahalli,BENGALURU RURAL,BENGALURU RURAL.xls,84,625596.0,11-29-583-05604-625596,beerahalli,bangalore rural,hosakote,272724.0,Hettakki
Karnataka,BENGALURU RURAL,Devanhalli,299517,Alooru Duddanahalli,142280,BEERASANDRA,625273,Beerasandra,BENGALURU RURAL,BENGALURU RURAL.xls,85,625273.0,11-29-583-05603-625273,beerasandra,bangalore rural,devanahalli,272721.0,Alooru Duddanahalli
Karnataka,BENGALURU RURAL,Hoskote,59929,KAMBALIPURA,142738,BEGURU,625529,Begur,BENGALURU RURAL,BENGALURU RURAL.xls,86,625529.0,11-29-583-05604-625529,begur,bangalore rural,hosakote,215486.0,Kambalipura
Karnataka,BENGALURU RURAL,Hoskote,59937,OROHALLI,142821,BELAVANGALA,625645,Belamangala,BENGALURU RURAL,BENGALURU RURAL.xls,87,625645.0,11-29-583-05604-625645,belamangala,bangalore rural,hosakote,215494.0,Orohalli
Karnataka,BENGALURU RURAL,Hoskote,59934,MUTHSANDRA,142783,BELLIKERE,625739,Bellikere,BENGALURU RURAL,BENGALURU RURAL.xls,88,625739.0,11-29-583-05604-625739,bellikere,bangalore rural,hosakote,215491.0,Muthsandra
Karnataka,BENGALURU RURAL,Nelamangala,60018,MARALAKUNTE,143383,BENACHANAHALLI,624713,Benchanahalli,BENGALURU RURAL,BENGALURU RURAL.xls,89,624713.0,11-29-583-05601-624713,benchanahalli,bangalore rural,nelamangala,215587.0,Maralakunte
Karnataka,BENGALURU RURAL,Dodballapur,59915,SASALU,142605,BENAKINA MADAGU,625001,Benakinamadugu,BENGALURU RURAL,BENGALURU RURAL.xls,90,625001.0,11-29-583-05602-625001,benakinamadugu,bangalore rural,dod ballapur,215471.0,Sasalu
Karnataka,BENGALURU RURAL,Hoskote,59943,Doddaralagere,142879,BENDIGANAHALLI,625480,Bendiganahalli,BENGALURU RURAL,BENGALURU RURAL.xls,91,625480.0,11-29-583-05604-625480,bendiganahalli,bangalore rural,hosakote,215480.0,Doddaralagere
Karnataka,BENGALURU RURAL,Nelamangala,60018,MARALAKUNTE,143384,BENNEGERE,624712,Bennegere,BENGALURU RURAL,BENGALURU RURAL.xls,92,624712.0,11-29-583-05601-624712,bennegere,bangalore rural,nelamangala,215587.0,Maralakunte
Karnataka,BENGALURU RURAL,Nelamangala,60017,NARASIPURA,143375,BETTADAOSAHALLI,624726,Bettadahosahalli,BENGALURU RURAL,BENGALURU RURAL.xls,93,624726.0,11-29-583-05601-624726,bettadahosahalli,bangalore rural,nelamangala,215588.0,Narasipura
Karnataka,BENGALURU RURAL,Nelamangala,299572,GOLLAHALLI,143457,BETTAHALLI,624863,Bettahalli,BENGALURU RURAL,BENGALURU RURAL.xls,94,624863.0,11-29-583-05601-624863,bettahalli,bangalore rural,nelamangala,272726.0,Gollahalli
Karnataka,BENGALURU RURAL,Hoskote,59925,Giddappanahalli,142705,BETTAHALLY,625506,Bettahalli,BENGALURU RURAL,BENGALURU RURAL.xls,95,625506.0,11-29-583-05604-625506,bettahalli,bangalore rural,hosakote,215482.0,Giddappanahalli
Karnataka,BENGALURU RURAL,Devanhalli,59881,Bettekote,142309,BETTAKOTE,625440,Bettakote,BENGALURU RURAL,BENGALURU RURAL.xls,96,625440.0,11-29-583-05603-625440,bettakote,bangalore rural,devanahalli,215426.0,Bettekote
Karnataka,BENGALURU RURAL,Devanhalli,59872,JALIGE,142246,BETTENAHALLY,625295,Bettenahalli,BENGALURU RURAL,BENGALURU RURAL.xls,97,625295.0,11-29-583-05603-625295,bettenahalli,bangalore rural,devanahalli,215435.0,Jalige
Karnataka,BENGALURU RURAL,Dodballapur,59901,HONNAVARA,142467,BHADRAPURA,625222,Badrapura,BENGALURU RURAL,BENGALURU RURAL.xls,98,625222.0,11-29-583-05602-625222,badrapura,bangalore rural,dod ballapur,215457.0,Honnavara
Karnataka,BENGALURU RURAL,Dodballapur,59892,Bhaktarahalli,142393,BHAKTHARAHALLY,624995,Bhaktharahalli,BENGALURU RURAL,BENGALURU RURAL.xls,99,624995.0,11-29-583-05602-624995,bhaktharahalli,bangalore rural,dod ballapur,215448.0,Bhaktarahalli
Karnataka,BENGALURU RURAL,Dodballapur,59895,DODDABELAVANGALA,142416,BHAKTHARAHALLY,625057,Heggadihalli,BENGALURU RURAL,BENGALURU RURAL.xls,100,625057.0,11-29-583-05602-625057,heggadihalli,bangalore rural,dod ballapur,215456.0,Heggadihalli
Karnataka,BENGALURU RURAL,Hoskote,59921,DODDAGATTIGANABBE,142668,BHAKTHARAHALLY,625711,Bhaktharahalli,BENGALURU RURAL,BENGALURU RURAL.xls,101,625711.0,11-29-583-05604-625711,bhaktharahalli,bangalore rural,hosakote,215477.0,Doddagattiganabbe
