dept,dept_clean,grant_dept,grant_dept_clean,corp,corp_clean,project,project_clean,est_date,est_date_clean,district,district_clean,district_code,taluk,taluk_clean,constituency,constituency_clean,gram_panchayat,gram_panchayat_clean,village,village_clean,habitation,habitation_clean,maintenance_agency,maintenance_agency_clean,op_duration,op_duration_clean,op_duration_from,op_duration_to,rr_no,rr_no_clean,latitude,latitude_clean,longitude,longitude_clean,water_source,water_source_clean,water_source_code,borewell_capacity,borewell_capacity_clean,borewell_capacity_code,unit_capacity,unit_capacity_clean,unit_capacity_code,cost_unit,cost_unit_clean,cost_unit_code,civil_work_details,civil_work_details_clean,cost_civil_work,cost_civil_work_clean,cost_civil_work_code,cost_other_work,cost_other_work_clean,cost_other_work_code,tender_called,tender_called_clean,tender_called_code,maint_agreement,maint_agreement_clean,maint_agreement_code,maint_duration,maint_duration_clean,maint_duration_code,num_bidders,num_bidders_clean,num_bidders_code,install_contract,install_contract_clean,install_contract_code,agency_details,agency_details_clean,accreditation,accreditation_clean,accreditation_code,shutdown_reason,shutdown_reason_clean,num_repairs,num_repairs_clean,num_repairs_code,repair_time_hrs,repair_time_hrs_clean,repair_time_hrs_code,elec_conn_month,elec_conn_month_clean,remarks,remarks_clean,missing_count,corrupted_vars_list,flag_combined,flag_comma_split,flag_decimal_space,flag_six_numbers
RDW&SD,RDW&SD,RDPR,RDPR,RDW&SD,RDW&SD,SVS,SVS,10mar2017,10mar2017,KODAGU,kodagu,kodagu,MADIKERI,MADIKERI,VIRAJPET,VIRAJPET,Mekeri,Mekeri,Biligeri,Biligeri,Biligeri,Biligeri,GRAMA PANCHATH,GRAMA PANCHATH,2023,2023,2023,,46947,46947,12.3607977,12.3607977,75.75905179999999,75.75905179999999,BOREWELL,borewell,borewell,528,528,528,1000 ltr,1000,1000,1130000,1130000,1130000,PUFF CABIN,puff cabin,250000,250000,250000,880000,880000,880000,Yes,yes,yes,Yes,yes,yes,60,60,60,3,3,3,No,no,no,"M/s.SHIVA JYOTHI ELECTRICALS, HASSAN, Mobile Number-8884607161,7892708991","M/s.SHIVA JYOTHI ELECTRICALS, HASSAN, Mobile Number-8884607161,7892708991",Yes,yes,yes,,,0,0,0,24 hrs to 48 Hrs,24 hrs to 48 hrs,36,01mar2019,01mar2019,,,2,,0,0,0,0
K R I D L,K R I D L,RDPR,RDPR,K R I D L,K R I D L,SVS,SVS,11mar2017,11mar2017,KODAGU,kodagu,kodagu,MADIKERI,MADIKERI,VIRAJPET,VIRAJPET,Karike,Karike,Karike,Karike,Karike,Karike,GRAMA PANCHATH,GRAMA PANCHATH,2019,2019,2019,,46526,46526,12.45245,12.45245,75.383415,75.383415,BOREWELL,borewell,borewell,528,528,528,1000 ltr,1000,1000,1020000,1020000,1020000,PUFF CABIN,puff cabin,250000,250000,250000,770000,770000,770000,Yes,yes,yes,No,no,no,NA,,,NA,,,No,no,no,"KRIDL,   Mobile Number- 7204834287","KRIDL, Mobile Number- 7204834287",Yes,yes,yes,,,1,1,1,24 hrs to 48 Hrs,24 hrs to 48 hrs,36,01mar2019,01mar2019,,,2,,0,0,0,0
K R I D L,K R I D L,RDPR,RDPR,K R I D L,K R I D L,SVS,SVS,12mar2017,12mar2017,KODAGU,kodagu,kodagu,MADIKERI,MADIKERI,VIRAJPET,VIRAJPET,Peraje,Peraje,Kundalpadi Peraje,Kundalpadi Peraje,Kundalpadi Peraje,Kundalpadi Peraje,GRAMA PANCHATH,GRAMA PANCHATH,2019,2019,2019,,46245,46245,12.4852238,12.4852238,75.53039939999999,75.53039939999999,BOREWELL,borewell,borewell,528,528,528,1000 ltr,1000,1000,1020000,1020000,1020000,PUFF CABIN,puff cabin,250000,250000,250000,770000,770000,770000,Yes,yes,yes,No,no,no,NA,,,NA,,,No,no,no,"KRIDL,   Mobile Number- 7204834287","KRIDL, Mobile Number- 7204834287",Yes,yes,yes,,,1,1,1,24 hrs to 48 Hrs,24 hrs to 48 hrs,36,01mar2019,01mar2019,,,2,,0,0,0,0
K R I D L,K R I D L,RDPR,RDPR,K R I D L,K R I D L,SVS,SVS,13mar2017,13mar2017,KODAGU,kodagu,kodagu,MADIKERI,MADIKERI,VIRAJPET,VIRAJPET,Chembu,Chembu,Male Chembu,Male Chembu,Male Chembu,Male Chembu,GRAMA PANCHATH,GRAMA PANCHATH,2019,2019,2019,,46246,46246,12.5133017,12.5133017,75.44055830000001,75.44055830000001,BOREWELL,borewell,borewell,528,528,528,1000 ltr,1000,1000,1020000,1020000,1020000,PUFF CABIN,puff cabin,250000,250000,250000,770000,770000,770000,Yes,yes,yes,No,no,no,NA,,,NA,,,No,no,no,"KRIDL,   Mobile Number- 7204834287","KRIDL, Mobile Number- 7204834287",Yes,yes,yes,,,1,1,1,24 hrs to 48 Hrs,24 hrs to 48 hrs,36,01mar2019,01mar2019,,,2,,0,0,0,0
K R I D L,K R I D L,RDPR,RDPR,K R I D L,K R I D L,SVS,SVS,14mar2017,14mar2017,KODAGU,kodagu,kodagu,MADIKERI,MADIKERI,VIRAJPET,VIRAJPET,Sampaje,Sampaje,Sampaje,Sampaje,Sampaje,Sampaje,GRAMA PANCHATH,GRAMA PANCHATH,2019,2019,2019,,46247,46247,12.4952224,12.4952224,75.5699532,75.5699532,BOREWELL,borewell,borewell,528,528,528,1000 ltr,1000,1000,1020000,1020000,1020000,PUFF CABIN,puff cabin,250000,250000,250000,770000,770000,770000,Yes,yes,yes,No,no,no,NA,,,NA,,,No,no,no,"KRIDL,   Mobile Number- 7204834287","KRIDL, Mobile Number- 7204834287",Yes,yes,yes,,,0,0,0,24 hrs to 48 Hrs,24 hrs to 48 hrs,36,01mar2019,01mar2019,,,2,,0,0,0,0
RDW&SD,RDW&SD,RDPR,RDPR,RDW&SD,RDW&SD,NRDWP - C&Q,NRDWP - C&Q,2016-17,2016-17,KODAGU,kodagu,kodagu,PONNAMPET,PONNAMPET,VIRAJPET,VIRAJPET,Arvathoklu,Arvathoklu,Arvathoklu,Arvathoklu,Arvathoklu,Arvathoklu,GRAMA PANCHATH,GRAMA PANCHATH,2021,2021,2021,,GKGW 2328,GKGW 2328,12.1750601,12.1750601,75.9327677,75.9327677,BOREWELL,borewell,borewell,460,460,460,500 ltr/hour,500,500,661000,661000,661000,PUFF CABIN,puff cabin,199000,199000,199000,462000,462000,462000,Yes,yes,yes,Yes,yes,yes,60,60,60,1,1,1,No,no,no,"M/S ENERGY EQUIPMENTS INDIA PVT.LTD., NO., 10TH B MAIN ROAD JAYNAGAR 4TH BLOCK BANGALORE -11, Mobile Number-9611184223","M/S ENERGY EQUIPMENTS INDIA PVT.LTD., NO., 10TH B MAIN ROAD JAYNAGAR 4TH BLOCK BANGALORE -11, Mobile Number-9611184223",Yes,yes,yes,,,2,2,2,24 hrs to 48 Hrs,24 hrs to 48 hrs,36,28.02.2017,28.02.2017,,,2,,0,0,0,0
RDW&SD,RDW&SD,RDPR,RDPR,RDW&SD,RDW&SD,NRDWP - C&Q,NRDWP - C&Q,2016-17,2016-17,KODAGU,kodagu,kodagu,PONNAMPET,PONNAMPET,VIRAJPET,VIRAJPET,Ponnampet,Ponnampet,Ponnampet,Ponnampet,Ponnampet,Ponnampet,GRAMA PANCHATH,GRAMA PANCHATH,2021,2021,2021,,GKGW 2327,GKGW 2327,12.1456767,12.1456767,75.94466,75.94466,BOREWELL,borewell,borewell,450,450,450,1000 ltr/hour,1000,1000,670000,670000,670000,PUFF CABIN,puff cabin,199000,199000,199000,471000,471000,471000,Yes,yes,yes,Yes,yes,yes,60,60,60,1,1,1,No,no,no,"M/S ENERGY EQUIPMENTS INDIA PVT.LTD., NO., 10TH B MAIN ROAD JAYNAGAR 4TH BLOCK BANGALORE -11, Mobile Number-9611184223","M/S ENERGY EQUIPMENTS INDIA PVT.LTD., NO., 10TH B MAIN ROAD JAYNAGAR 4TH BLOCK BANGALORE -11, Mobile Number-9611184223",Yes,yes,yes,,,4,4,4,24 hrs to 48 Hrs,24 hrs to 48 hrs,36,28.02.2017,28.02.2017,,,2,,0,0,0,0
RDW&SD,RDW&SD,RDPR,RDPR,RDW&SD,RDW&SD,NRDWP - C&Q,NRDWP - C&Q,2016-17,2016-17,KODAGU,kodagu,kodagu,VIRAJPET,VIRAJPET,VIRAJPET,VIRAJPET,Ammathi,Ammathi,Karmadu/ Ammathi,Karmadu/ Ammathi,Karmadu/ Ammathi,Karmadu/ Ammathi,GRAMA PANCHATH,GRAMA PANCHATH,2021,2021,2021,,43442,43442,12.2388383,12.2388383,75.86020329999999,75.86020329999999,BOREWELL,borewell,borewell,444,444,444,1000 ltr/hour,1000,1000,670000,670000,670000,PUFF CABIN,puff cabin,199000,199000,199000,471000,471000,471000,Yes,yes,yes,Yes,yes,yes,60,60,60,1,1,1,No,no,no,"M/S ENERGY EQUIPMENTS INDIA PVT.LTD., NO., 10TH B MAIN ROAD JAYNAGAR 4TH BLOCK BANGALORE -11, Mobile Number-9611184223","M/S ENERGY EQUIPMENTS INDIA PVT.LTD., NO., 10TH B MAIN ROAD JAYNAGAR 4TH BLOCK BANGALORE -11, Mobile Number-9611184223",Yes,yes,yes,,,4,4,4,24 hrs to 48 Hrs,24 hrs to 48 hrs,36,28.02.2017,28.02.2017,,,2,,0,0,0,0
RDW&SD,RDW&SD,RDPR,RDPR,RDW&SD,RDW&SD,NRDWP - C&Q,NRDWP - C&Q,2016-17,2016-17,KODAGU,kodagu,kodagu,PONNAMPET,PONNAMPET,VIRAJPET,VIRAJPET,Thithimathi,Thithimathi,Nokya,Nokya,Nokya,Nokya,GRAMA PANCHATH,GRAMA PANCHATH,2021,2021,2021,,GKGW2326,GKGW2326,12.2245216,12.2245216,76.0031829,76.0031829,BOREWELL,borewell,borewell,430,430,430,500 ltr/hour,500,500,661000,661000,661000,PUFF CABIN,puff cabin,199000,199000,199000,462000,462000,462000,Yes,yes,yes,Yes,yes,yes,60,60,60,1,1,1,No,no,no,"M/S ENERGY EQUIPMENTS INDIA PVT.LTD., NO., 10TH B MAIN ROAD JAYNAGAR 4TH BLOCK BANGALORE -11, Mobile Number-9611184223","M/S ENERGY EQUIPMENTS INDIA PVT.LTD., NO., 10TH B MAIN ROAD JAYNAGAR 4TH BLOCK BANGALORE -11, Mobile Number-9611184223",Yes,yes,yes,,,2,2,2,24 hrs to 48 Hrs,24 hrs to 48 hrs,36,28.02.2017,28.02.2017,,,2,,0,0,0,0
RDW&SD,RDW&SD,RDPR,RDPR,RDW&SD,RDW&SD,NRDWP - C&Q,NRDWP - C&Q,2016-17,2016-17,KODAGU,kodagu,kodagu,PONNAMPET,PONNAMPET,VIRAJPET,VIRAJPET,Gonikoppa,Gonikoppa,Gonikoppa,Gonikoppa,Gonikoppa,Gonikoppa,GRAMA PANCHATH,GRAMA PANCHATH,2021,2021,2021,,2344,2344,12.1850274,12.1850274,75.92567750000001,75.92567750000001,BOREWELL,borewell,borewell,520,520,520,1000 ltr/hour,1000,1000,670000,670000,670000,PUFF CABIN,puff cabin,199000,199000,199000,471000,471000,471000,Yes,yes,yes,Yes,yes,yes,60,60,60,1,1,1,No,no,no,"M/S ENERGY EQUIPMENTS INDIA PVT.LTD., NO., 10TH B MAIN ROAD JAYNAGAR 4TH BLOCK BANGALORE -11, Mobile Number-9611184223","M/S ENERGY EQUIPMENTS INDIA PVT.LTD., NO., 10TH B MAIN ROAD JAYNAGAR 4TH BLOCK BANGALORE -11, Mobile Number-9611184223",Yes,yes,yes,,,5,5,5,24 hrs to 48 Hrs,24 hrs to 48 hrs,36,28.02.2017,28.02.2017,,,2,,0,0,0,0
RDW&SD,RDW&SD,RDPR,RDPR,RDW&SD,RDW&SD,NRDWP - C&Q,NRDWP - C&Q,2016-17,2016-17,KODAGU,kodagu,kodagu,PONNAMPET,PONNAMPET,VIRAJPET,VIRAJPET,kutta,kutta,kutta,kutta,kutta,kutta,GRAMA PANCHATH,GRAMA PANCHATH,2021,2021,2021,,GKSMC 39825,GKSMC 39825,11.9690309,11.9690309,76.0512287,76.0512287,BOREWELL,borewell,borewell,480,480,480,1000 ltr/hour,1000,1000,670000,670000,670000,PUFF CABIN,puff cabin,199000,199000,199000,471000,471000,471000,Yes,yes,yes,Yes,yes,yes,60,60,60,1,1,1,No,no,no,"M/S ENERGY EQUIPMENTS INDIA PVT.LTD., NO., 10TH B MAIN ROAD JAYNAGAR 4TH BLOCK BANGALORE -11, Mobile Number-9611184223","M/S ENERGY EQUIPMENTS INDIA PVT.LTD., NO., 10TH B MAIN ROAD JAYNAGAR 4TH BLOCK BANGALORE -11, Mobile Number-9611184223",Yes,yes,yes,,,3,3,3,24 hrs to 48 Hrs,24 hrs to 48 hrs,36,28.02.2017,28.02.2017,,,2,,0,0,0,0
RDW&SD,RDW&SD,RDPR,RDPR,RDW&SD,RDW&SD,NRDWP - C&Q,NRDWP - C&Q,2016-17,2016-17,KODAGU,kodagu,kodagu,VIRAJPET,VIRAJPET,VIRAJPET,VIRAJPET,Polibetta,Polibetta,Mekuru-Hoskeri,Mekuru-Hoskeri,Mekuru-Hoskeri,Mekuru-Hoskeri,GRAMA PANCHATH,GRAMA PANCHATH,2021,2021,2021,,43443,43443,12.2393625,12.2393625,75.91389839999999,75.91389839999999,BOREWELL,borewell,borewell,450,450,450,500 ltr/hour,500,500,661000,661000,661000,PUFF CABIN,puff cabin,199000,199000,199000,462000,462000,462000,Yes,yes,yes,Yes,yes,yes,60,60,60,1,1,1,No,no,no,"M/S ENERGY EQUIPMENTS INDIA PVT.LTD., NO., 10TH B MAIN ROAD JAYNAGAR 4TH BLOCK BANGALORE -11, Mobile Number-9611184223","M/S ENERGY EQUIPMENTS INDIA PVT.LTD., NO., 10TH B MAIN ROAD JAYNAGAR 4TH BLOCK BANGALORE -11, Mobile Number-9611184223",Yes,yes,yes,,,2,2,2,24 hrs to 48 Hrs,24 hrs to 48 hrs,36,28.02.2017,28.02.2017,,,2,,0,0,0,0
