state,jjm_district,jjm_block,jjm_panchayat_id,jjm_panchayat,jjm_village_id,jjm_village,lgd_village_id,lgd_village,district_from_header,source_file,serial_no,shrid2,state_name,district_name,subdistrict_name,town_name,village_name,place_name,shrid_last6
Karnataka,Bagalkote,Bilagi,299899,Heggura,141893,Heggur Rc,598506,Heggur,Bagalkote,Bagalkote.xls,214,,,,,,,,
Karnataka,Bagalkote,Bagalkot,59688,Hiregulabal,141504,HIREMURAMATTI,598809,Hiremuramatti,Bagalkote,Bagalkote.xls,232,,,,,,,,
Karnataka,Bagalkote,Bilagi,299899,Heggura,588589,Lingapur Sr Rc,598507,Lingapur.S.R PU.K,Bagalkote,Bagalkote.xls,389,,,,,,,,
Karnataka,Bagalkote,Badami,59767,Mamtageri,141749,Mamatageri,598704,Mamatageri,Bagalkote,Bagalkote.xls,404,,,,,,,,
Karnataka,Ballari,Sandur,0,0,702878,GIRENAHALLI,924424,GIRENAHALLI,Ballari,Ballari.xls,69,,,,,,,,
Karnataka,Ballari,Sandur,299931,H K Halli,665619,Huchenahalli,917702,HUCHCHENAHALLI,Ballari,Ballari.xls,102,,,,,,,,
Karnataka,Ballari,Sandur,60692,Bommagatta,145106,Jodikasanayakanahalli,604980,Jodikasinayakanahalli,Ballari,Ballari.xls,113,,,,,,,,
Karnataka,Belagavi,Athni,60054,Athani (Grameen),143618,Athani Rural,597300,Athani (Rural) (Part),Belagavi,Belagavi.xls,63,,,,,,,,
Karnataka,Belagavi,Belagavi,60138,Benakanhalli,143751,Benakanahalli,597799,Benakanahalli (CT),Belagavi,Belagavi.xls,147,,,,,,,,
Karnataka,Belagavi,Gokak,60244,Suladhala,143954,Budihal,597497,Budihal,Belagavi,Belagavi.xls,204,,,,,,,,
Karnataka,Belagavi,Belagavi,60125,Sulebhavi,143724,Chandur,597756,Chandur,Belagavi,Belagavi.xls,214,,,,,,,,
Karnataka,Belagavi,Athni,60084,Saptasagar,661637,Chikkud,597308,Chikkud,Belagavi,Belagavi.xls,246,,,,,,,,
Karnataka,Belagavi,Belagavi,60141,Dharanatti,661560,Dharanatti,597701,Rangadholi,Belagavi,Belagavi.xls,289,,,,,,,,
Karnataka,Belagavi,Savadathi,60415,Yakkundi,144410,Dhupadal,598228,Dhupdal,Belagavi,Belagavi.xls,296,,,,,,,,
Karnataka,Belagavi,Bylahongal,60501,Chikkabagewadi,144609,Gaddikaravinakoppa,598062,Gaddikurvinkoppa,Belagavi,Belagavi.xls,316,,,,,,,,
Karnataka,Belagavi,Belagavi,60116,Kangrali B.K,143707,Gaundawad,597691,Goundawad (Part),Belagavi,Belagavi.xls,332,,,,,,,,
Karnataka,Belagavi,Belagavi,60137,K. K. Koppa,143750,Halgimardi,939170,SU HALAGIMARDI,Belagavi,Belagavi.xls,409,,,,,,,,
Karnataka,Belagavi,Chikodi,60196,Karagaon,143839,Hanchinal K.k.,597236,Hanchinal (K.K.),Belagavi,Belagavi.xls,424,,,,,,,,
Karnataka,Belagavi,Khanapur,60349,Amate,144201,Hebbanatti,597819,Habbanatti,Belagavi,Belagavi.xls,448,,,,,,,,
Karnataka,Belagavi,Raybag,60438,Hidkal,144446,Hidkal,597617,Hidakal,Belagavi,Belagavi.xls,451,,,,,,,,
Karnataka,Belagavi,Belagavi,60097,Aralikatti,143664,Hulikatti,597778,Hulikatti,Belagavi,Belagavi.xls,504,,,,,,,,
Karnataka,Belagavi,Hukeri,60305,Hosur,664341,Hunnur,939177,HONNUR,Belagavi,Belagavi.xls,513,,,,,,,,
Karnataka,Belagavi,Belagavi,60117,Kakti,143709,Kakati,597792,Kakati (CT),Belagavi,Belagavi.xls,584,,,,,,,,
Karnataka,Belagavi,Bylahongal,60499,Maradinagalapur,144601,Kallur,598064,Kallur,Belagavi,Belagavi.xls,597,,,,,,,,
Karnataka,Belagavi,Belagavi,60126,Tarihal,143726,Kolikoppa,597777,Kolikopp,Belagavi,Belagavi.xls,704,,,,,,,,
Karnataka,Belagavi,MUDALAGI,60270,Sunadholi,662242,LAXMESHWAR,597494,Lagameshwar,Belagavi,Belagavi.xls,751,,,,,,,,
Karnataka,Belagavi,Hukeri,60294,Naganur K D,664305,Majati,923726,MAJATI,Belagavi,Belagavi.xls,776,,,,,,,,
Karnataka,Belagavi,Hukeri,60294,Naganur K D,664307,Managoan,923727,MANAGOAN,Belagavi,Belagavi.xls,793,,,,,,,,
Karnataka,Belagavi,Bylahongal,60491,Sutagatti,144580,Mattikoppa,598039,Mattikoppa,Belagavi,Belagavi.xls,834,,,,,,,,
Karnataka,Belagavi,Khanapur,60350,Bailur,144205,Morab,597822,Morab,Belagavi,Belagavi.xls,856,,,,,,,,
Karnataka,Belagavi,Gokak,60247,Nandagaon,662240,Mutnal,597437,Mutnal,Belagavi,Belagavi.xls,880,,,,,,,,
Karnataka,Belagavi,Hukeri,60320,Mavanur,664359,Parakanatti,923725,PARAKANATTI,Belagavi,Belagavi.xls,952,,,,,,,,
Karnataka,Belagavi,Belagavi,60114,Piranawadi,143704,Piranawadi,597800,Peeranwadi (CT),Belagavi,Belagavi.xls,965,,,,,,,,
Karnataka,Belagavi,Belagavi,60143,Nilaji,143767,Shindolli,597766,Shindoli (Part),Belagavi,Belagavi.xls,1045,,,,,,,,
Karnataka,Belagavi,Hukeri,60308,Sulthanaput,144058,Sultanpur,597607,Sultanpur,Belagavi,Belagavi.xls,1100,,,,,,,,
Karnataka,Belagavi,Ramdurg,60470,Turanur,144521,Turanur,598376,Turanur (Part),Belagavi,Belagavi.xls,1154,,,,,,,,
Karnataka,Belagavi,Hukeri,60294,Naganur K D,664306,Wadishidlihal,923728,WADISHIDLIHAL,Belagavi,Belagavi.xls,1185,,,,,,,,
Karnataka,Belagavi,Savadathi,60415,Yakkundi,144408,Yakkundi,598229,Yakkundi,Belagavi,Belagavi.xls,1206,,,,,,,,
Karnataka,Bengaluru Urban,YELAHANKA,61391,Bandikodagehalli,148215,B K PALYA,938495,Arebinnamangala,Bengaluru Urban,Bengaluru Urban.xls,30,,,,,,,,
Karnataka,Bengaluru Urban,Bengaluru East,61437,Kannuru,665183,Bande Hosur,938226,AMANI BAIRATIKHANE,Bengaluru Urban,Bengaluru Urban.xls,43,,,,,,,,
Karnataka,Bengaluru Urban,Bengaluru South,61419,Ramohalli,693546,BHEEMANAKUPPE RAMASAGARA,613014,BHEEMANAKUPPE RAMASAGARA,Bengaluru Urban,Bengaluru Urban.xls,58,,,,,,,,
Karnataka,Bengaluru Urban,Bengaluru South,61416,Agara,665556,Byrasandra,924146,BYRASANDRA,Bengaluru Urban,Bengaluru Urban.xls,84,,,,,,,,
Karnataka,Bengaluru Urban,Bengaluru South,299653,Channenahalli,665221,Channadasipalya,938427,ARAKERE,Bengaluru Urban,Bengaluru Urban.xls,94,,,,,,,,
Karnataka,Bengaluru Urban,Bengaluru East,61437,Kannuru,148441,Chikka Gubbi,613125,Chikkagubbi (OG),Bengaluru Urban,Bengaluru Urban.xls,99,,,,,,,,
Karnataka,Bengaluru Urban,Bengaluru North,299657,Kachohalli,665302,Chikkagollarahatti,938346,BAGALAGUNTE,Bengaluru Urban,Bengaluru Urban.xls,105,,,,,,,,
Karnataka,Bengaluru Urban,Bengaluru North,61368,Kodigehalli,665469,Chikkakodige Halli,939476,VYYALIKAVAL,Bengaluru Urban,Bengaluru Urban.xls,108,,,,,,,,
Karnataka,Bengaluru Urban,Bengaluru South,61417,K.Gollahalli,148335,Devegere,939479,AGARA (BEGUR HOBLI),Bengaluru Urban,Bengaluru Urban.xls,135,,,,,,,,
Karnataka,Bengaluru Urban,Bengaluru South,61401,Doddathoguru,148268,Dodda Thogur,938419,CHIKKATOGURU,Bengaluru Urban,Bengaluru Urban.xls,142,,,,,,,,
Karnataka,Bengaluru Urban,Bengaluru East,61438,Doddagubbi,148451,Doddagubbi,613126,Doddagubbi (OG),Bengaluru Urban,Bengaluru Urban.xls,145,,,,,,,,
Karnataka,Bengaluru Urban,Bengaluru North,61373,Huskuru,665288,Doddapalya,939406,AGRAHARA THIMMASANDRA,Bengaluru Urban,Bengaluru Urban.xls,149,,,,,,,,
Karnataka,Bengaluru Urban,Bengaluru North,61368,Kodigehalli,665474,Gangadipura,938343,VISHVANATHA NAGENAHALLI,Bengaluru Urban,Bengaluru Urban.xls,160,,,,,,,,
Karnataka,Bengaluru Urban,Anekal,61343,Kallubalu,147905,Giddenahalli,613286,Giddenahalli,Bengaluru Urban,Bengaluru Urban.xls,169,,,,,,,,
Karnataka,Bengaluru Urban,Bengaluru South,61442,Chikkanahalli,665865,Gollahalli,924158,GOLLAHALLI,Bengaluru Urban,Bengaluru Urban.xls,172,,,,,,,,
Karnataka,Bengaluru Urban,Bengaluru South,61441,Chunchanakuppe,665578,Gopalanagara,939488,MARENAHALLI ( UTTARAHALLI HOBLI),Bengaluru Urban,Bengaluru Urban.xls,177,,,,,,,,
Karnataka,Bengaluru Urban,YELAHANKA,61392,Marenahalli,148227,GOPALPURA,938533,CHIKKABOMMASANDRA,Bengaluru Urban,Bengaluru Urban.xls,179,,,,,,,,
Karnataka,Bengaluru Urban,Bengaluru South,61403,Konappana Agrahara,148280,Govindashettipalya,938477,AVALAHALLI,Bengaluru Urban,Bengaluru Urban.xls,184,,,,,,,,
Karnataka,Bengaluru Urban,Bengaluru South,61441,Chunchanakuppe,148483,Gururayanapura,939493,SONNENAHALLI (KOTLU K.G),Bengaluru Urban,Bengaluru Urban.xls,195,,,,,,,,
Karnataka,Bengaluru Urban,Bengaluru South,259828,H. Gollahalli,148320,H. Gollahalli,938480,HOSAKEREHALLI,Bengaluru Urban,Bengaluru Urban.xls,196,,,,,,,,
Karnataka,Bengaluru Urban,Anekal,61345,Hennagara,147915,Hennagara Amanikere,613179,Hennagara Amanikere,Bengaluru Urban,Bengaluru Urban.xls,216,,,,,,,,
Karnataka,Bengaluru Urban,YELAHANKA,299660,Sathanooru,700197,HOSAHALLI,612909,HOSAHALLI,Bengaluru Urban,Bengaluru Urban.xls,230,,,,,,,,
Karnataka,Bengaluru Urban,Bengaluru South,61418,Kumbalagodu,665269,Hosapalya,938458,CHUNCHAGHATTA,Bengaluru Urban,Bengaluru Urban.xls,233,,,,,,,,
Karnataka,Bengaluru Urban,YELAHANKA,61391,Bandikodagehalli,665254,KADAYARAPPANAHALLI,612918,Bandikodegehalli Amanikere,Bengaluru Urban,Bengaluru Urban.xls,274,,,,,,,,
Karnataka,Bengaluru Urban,Bengaluru North,61368,Kodigehalli,665471,Kannahalli Hosahalli,939475,ULLALU K.G,Bengaluru Urban,Bengaluru Urban.xls,292,,,,,,,,
Karnataka,Bengaluru Urban,Bengaluru East,61437,Kannuru,148442,Kannur,613124,Kannur (OG),Bengaluru Urban,Bengaluru Urban.xls,295,,,,,,,,
Karnataka,Bengaluru Urban,Bengaluru South,61441,Chunchanakuppe,665567,Karekalpalya,938424,NAGANATHAPURA,Bengaluru Urban,Bengaluru Urban.xls,296,,,,,,,,
Karnataka,Bengaluru Urban,Bengaluru North,61368,Kodigehalli,697341,KODIGEHALLI,612822,KODIGEHALLI,Bengaluru Urban,Bengaluru Urban.xls,318,,,,,,,,
Karnataka,Bengaluru Urban,Bengaluru North,61368,Kodigehalli,148062,Kodigehalli,612822,KODIGEHALLI,Bengaluru Urban,Bengaluru Urban.xls,319,,,,,,,,
Karnataka,Bengaluru Urban,Bengaluru North,61368,Kodigehalli,665470,Kodigehalli Harijana Colony,612821,Thirumalapura,Bengaluru Urban,Bengaluru Urban.xls,320,,,,,,,,
Karnataka,Bengaluru Urban,Bengaluru South,61418,Kumbalagodu,703119,KUMBALAGODU,613062,KUMBALAGODU,Bengaluru Urban,Bengaluru Urban.xls,342,,,,,,,,
Karnataka,Bengaluru Urban,Bengaluru South,61441,Chunchanakuppe,665539,Lakshmipura,938467,RAGHAVANAPALYA,Bengaluru Urban,Bengaluru Urban.xls,353,,,,,,,,
Karnataka,Bengaluru Urban,YELAHANKA,61388,KASAGATTAPURA,700202,LINGARAJASAGARA,612874,LINGARAJASAGARA,Bengaluru Urban,Bengaluru Urban.xls,358,,,,,,,,
Karnataka,Bengaluru Urban,Bengaluru North,273464,Kadabagere,665311,Mahimmannanapalya,939417,BOGENAHALLI,Bengaluru Urban,Bengaluru Urban.xls,372,,,,,,,,
Karnataka,Bengaluru Urban,Anekal,61337,Vanakanahalli,147863,Menaseganahalli,939404,BAHDURPURA,Bengaluru Urban,Bengaluru Urban.xls,407,,,,,,,,
Karnataka,Bengaluru Urban,Bengaluru South,61440,Choolanayakanahalli,665502,Metipalya,938487,VASANTAPURA,Bengaluru Urban,Bengaluru Urban.xls,408,,,,,,,,
Karnataka,Bengaluru Urban,Bengaluru South,259828,H. Gollahalli,665639,Nagegowdanapalya,939480,DASARAHALLI,Bengaluru Urban,Bengaluru Urban.xls,428,,,,,,,,
Karnataka,Bengaluru Urban,Bengaluru North,61377,Sondekoppa,665392,Parvathaiahana Palya,939411,BANGALORE,Bengaluru Urban,Bengaluru Urban.xls,448,,,,,,,,
Karnataka,Bengaluru Urban,Bengaluru South,61412,Kagglipura,665227,Pattareddipalya,938489,BIKASHIPURA,Bengaluru Urban,Bengaluru Urban.xls,450,,,,,,,,
Karnataka,Bengaluru Urban,Bengaluru North,61377,Sondekoppa,665380,Pitaganapalya,939414,BARAGI MUDDENAHALLI,Bengaluru Urban,Bengaluru Urban.xls,453,,,,,,,,
Karnataka,Bengaluru Urban,Bengaluru South,299653,Channenahalli,665199,Puttaiahnapalya,938417,BERATENA AGRAHARA,Bengaluru Urban,Bengaluru Urban.xls,457,,,,,,,,
Karnataka,Bengaluru Urban,Bengaluru North,61374,Alur,665211,Pylvanarapalya,939407,AKKITHIMMANAHALLI,Bengaluru Urban,Bengaluru Urban.xls,458,,,,,,,,
Karnataka,Bengaluru Urban,YELAHANKA,61393,BAGALUR,665209,RAJAKSABPALYA,938541,AMRUTAHALLI,Bengaluru Urban,Bengaluru Urban.xls,463,,,,,,,,
Karnataka,Bengaluru Urban,Bengaluru South,61420,Sulikere,148353,Ramasandra,613064,BASAVANAPURA,Bengaluru Urban,Bengaluru Urban.xls,471,,,,,,,,
Karnataka,Bengaluru Urban,Bengaluru South,61412,Kagglipura,665230,Saalu Hunase,938430,BILEKAHALLI,Bengaluru Urban,Bengaluru Urban.xls,481,,,,,,,,
Karnataka,Bengaluru Urban,Anekal,61344,Hulimangala,665581,Shikaripalya,938194,KUDLU,Bengaluru Urban,Bengaluru Urban.xls,504,,,,,,,,
Karnataka,Bengaluru Urban,Bengaluru South,61441,Chunchanakuppe,148479,Subbarayappanapalya,938444,VALAGERAHALLI,Bengaluru Urban,Bengaluru Urban.xls,526,,,,,,,,
Karnataka,Bengaluru Urban,Bengaluru South,61416,Agara,665565,Vaderahalli,924154,VADEERA HALLI,Bengaluru Urban,Bengaluru Urban.xls,568,,,,,,,,
Karnataka,Bengaluru Urban,Bengaluru South,299654,Nelaguli,665285,Veerasandra,938478,CHANNASANDRA,Bengaluru Urban,Bengaluru Urban.xls,578,,,,,,,,
Karnataka,Bengaluru Urban,YELAHANKA,61391,Bandikodagehalli,665249,YADIYOORU,925868,YADIYOORU,Bengaluru Urban,Bengaluru Urban.xls,584,,,,,,,,
Karnataka,Bidar,Bidar,60862,Aliabad (j),693388,ALIABAD (J),600256,ALIABAD (J),Bidar,Bidar.xls,5,,,,,,,,
Karnataka,Bidar,Bidar,60864,Yerrnalli,145757,Bompalli,600124,Bompalli,Bidar,Bidar.xls,83,,,,,,,,
Karnataka,Bidar,Bidar,60861,Kolar (k),588457,Hajjargi,923711,HAJJARAGI,Bidar,Bidar.xls,187,,,,,,,,
Karnataka,Bidar,Humnabad,60902,Hallikhed (k),664831,Hallikhed(k) Wadi,923715,HALLIKHED(K) WADI,Bidar,Bidar.xls,198,,,,,,,,
Karnataka,Bidar,Basavakalyan,60788,GUNDUR,664875,JAFARWADI,923683,JAFFARWADI,Bidar,Bidar.xls,245,,,,,,,,
Karnataka,Bidar,Bhalki,60838,Shivani,665016,Kasartugaon Wadi,599860,Kasara Tugaon Wadi,Bidar,Bidar.xls,298,,,,,,,,
Karnataka,Bidar,Bhalki,60830,Nittur (b),145624,Kotgyal,599888,Kotgiyal,Bidar,Bidar.xls,337,,,,,,,,
Karnataka,Bidar,Bhalki,60836,Methi Melkunda,595076,Methi Melkunda Wadi,599875,Methimelkunda Wadi,Bidar,Bidar.xls,400,,,,,,,,
Karnataka,Bidar,Chittaguppa,60872,BEMALKHEDA,693389,VITHALPUR,925916,VITHALPUR,Bidar,Bidar.xls,571,,,,,,,,
Karnataka,CHAMARAJANAGARA,Chamarajanagar,65066,UDIGALA,693319,CIKKEMPIHUNDI,924932,CIKKEMPIHUNDI,CHAMARAJANAGARA,CHAMARAJANAGARA.xls,98,,,,,,,,
Karnataka,CHAMARAJANAGARA,Gundlupet,65131,AGATHAGOWDANAHALLI,652731,DHADADHAHALLI,917623,Dhadadhahalli,CHAMARAJANAGARA,CHAMARAJANAGARA.xls,111,,,,,,,,
Karnataka,CHAMARAJANAGARA,Chamarajanagar,65091,Kudluru,168753,DODDARAYAPET,924892,DODDARAYAPETE,CHAMARAJANAGARA,CHAMARAJANAGARA.xls,117,,,,,,,,
Karnataka,CHAMARAJANAGARA,Gundlupet,65126,Kannegala,664576,GOPALAPURA,924967,GOPAALAPURA,CHAMARAJANAGARA,CHAMARAJANAGARA.xls,130,,,,,,,,
Karnataka,CHAMARAJANAGARA,Chamarajanagar,299760,GOVINDAVADI,665650,HALEPURA,917361,HALEPURA,CHAMARAJANAGARA,CHAMARAJANAGARA.xls,141,,,,,,,,
Karnataka,CHAMARAJANAGARA,Gundlupet,65127,KOTEKERE,168910,HONAKANAPURA,619452,Bhogganapura,CHAMARAJANAGARA,CHAMARAJANAGARA.xls,163,,,,,,,,
Karnataka,CHAMARAJANAGARA,Chamarajanagar,65088,MANGALA,697273,HULLEPURA,924903,HULLEPURA,CHAMARAJANAGARA,CHAMARAJANAGARA.xls,177,,,,,,,,
Karnataka,CHAMARAJANAGARA,Gundlupet,65107,KODASOGE,168817,K.K HUNDI,924977,KADTALKATTIHUNDI,CHAMARAJANAGARA,CHAMARAJANAGARA.xls,192,,,,,,,,
Karnataka,CHAMARAJANAGARA,Gundlupet,65134,BEGUR,664565,KALANAHUNDI,926061,KAALANAHUNDY,CHAMARAJANAGARA,CHAMARAJANAGARA.xls,199,,,,,,,,
Karnataka,CHAMARAJANAGARA,Gundlupet,65127,KOTEKERE,168912,KURUBARAHUNDI,924985,KURUBARA HUNDI,CHAMARAJANAGARA,CHAMARAJANAGARA.xls,256,,,,,,,,
Karnataka,CHAMARAJANAGARA,Gundlupet,65110,Kelasur,168835,MALLAMMANAHUNDI,924974,MALLAMMANA HUNDI,CHAMARAJANAGARA,CHAMARAJANAGARA.xls,276,,,,,,,,
Karnataka,CHAMARAJANAGARA,Hanuru,65148,PONNACHI,168992,PONNACHI,619885,Ponnachi,CHAMARAJANAGARA,CHAMARAJANAGARA.xls,318,,,,,,,,
Karnataka,CHAMARAJANAGARA,Gundlupet,65108,NITRE,168826,RANGANATHAPURA,925001,RANGANATHAPURA,CHAMARAJANAGARA,CHAMARAJANAGARA.xls,325,,,,,,,,
Karnataka,CHAMARAJANAGARA,Chamarajanagar,65080,PUNAJANURU,693318,RANGASANDRA,924919,RANGASANDRA,CHAMARAJANAGARA,CHAMARAJANAGARA.xls,326,,,,,,,,
Karnataka,CHAMARAJANAGARA,Gundlupet,65130,HOREYALA,636936,RANGUPURA,924963,RANGUPURA,CHAMARAJANAGARA,CHAMARAJANAGARA.xls,327,,,,,,,,
Karnataka,CHAMARAJANAGARA,Chamarajanagar,65075,ALUR,702834,SARAGURMOLE,924546,SARAGURMOLE,CHAMARAJANAGARA,CHAMARAJANAGARA.xls,334,,,,,,,,
Karnataka,CHAMARAJANAGARA,Chamarajanagar,65088,MANGALA,702835,YDIYOORU,924901,YDIYOORU,CHAMARAJANAGARA,CHAMARAJANAGARA.xls,398,,,,,,,,
Karnataka,CHIKKAMAGALURU,Kadur,61191,Devanur,596546,BANANAHALLI,609618,Devanurkaval,CHIKKAMAGALURU,CHIKKAMAGALURU.xls,86,,,,,,,,
Karnataka,CHIKKAMAGALURU,Mudigere,61317,TRIPURA,147737,BARIMALE ESTATE,609937,Barimale Estate,CHIKKAMAGALURU,CHIKKAMAGALURU.xls,100,,,,,,,,
Karnataka,CHIKKAMAGALURU,Tarikere,61291,MUDUGODU,147620,BASAVANAHLLI,609153,BASAVANAHALLY,CHIKKAMAGALURU,CHIKKAMAGALURU.xls,104,,,,,,,,
Karnataka,CHIKKAMAGALURU,Kadur,61183,BASUR,146901,BASURU KAVAL,609409,Basurukaval,CHIKKAMAGALURU,CHIKKAMAGALURU.xls,108,,,,,,,,
Karnataka,CHIKKAMAGALURU,Tarikere,61285,KORANAHALLI,147594,BELI BASAVANAHALLI,609211,Belibasavanahalli,CHIKKAMAGALURU,CHIKKAMAGALURU.xls,122,,,,,,,,
Karnataka,CHIKKAMAGALURU,AJJAMPURA,61262,BAGGAVALLI,147458,CHANNAPURA,609160,Channapura,CHIKKAMAGALURU,CHIKKAMAGALURU.xls,188,,,,,,,,
Karnataka,CHIKKAMAGALURU,AJJAMPURA,61270,CHEERANAHALLI,147515,CHEERANAHALLI,609270,Cheernanahalli Kaval,CHIKKAMAGALURU,CHIKKAMAGALURU.xls,196,,,,,,,,
Karnataka,CHIKKAMAGALURU,Chikkamagaluru,61132,KALASAPURA,146654,CHIKKA KALASAPURA,609794,Chikkakalasapura,CHIKKAMAGALURU,CHIKKAMAGALURU.xls,197,,,,,,,,
Karnataka,CHIKKAMAGALURU,AJJAMPURA,61272,DODDABOKIKERE,147535,GOLLARAHALLI,609202,Gollarahalli,CHIKKAMAGALURU,CHIKKAMAGALURU.xls,298,,,,,,,,
Karnataka,CHIKKAMAGALURU,Narasimharajapura,61253,Honnekudige ( Hanthuvine),147430,HEBBE,609074,Hebbe,CHIKKAMAGALURU,CHIKKAMAGALURU.xls,387,,,,,,,,
Karnataka,CHIKKAMAGALURU,Chikkamagaluru,61119,DASARAHALLI,665766,HOSAHALLI,609791,HOSAHALLY,CHIKKAMAGALURU,CHIKKAMAGALURU.xls,437,,,,,,,,
Karnataka,CHIKKAMAGALURU,Kadur,61209,MALLESHWARA,596553,JAMMAPURA (M.KODIHALLI),609437,Jammapura,CHIKKAMAGALURU,CHIKKAMAGALURU.xls,475,,,,,,,,
Karnataka,CHIKKAMAGALURU,Kadur,61234,KADURHALLI,596550,KACHAPURA,609508,Kachapura,CHIKKAMAGALURU,CHIKKAMAGALURU.xls,498,,,,,,,,
Karnataka,CHIKKAMAGALURU,Kadur,61190,CHEELANAHALLI,146955,KURUBARAHALLI,609503,Kurubarahalli,CHIKKAMAGALURU,CHIKKAMAGALURU.xls,640,,,,,,,,
Karnataka,CHIKKAMAGALURU,AJJAMPURA,61268,Bukkambudi,147498,MAKANAHALLI,609245,Makanahalli,CHIKKAMAGALURU,CHIKKAMAGALURU.xls,684,,,,,,,,
Karnataka,CHIKKAMAGALURU,Tarikere,61276,GULLADAMANE,664450,MALLIGENAHALLI,939544,THYAGADHA BHAGI FOREST,CHIKKAMAGALURU,CHIKKAMAGALURU.xls,704,,,,,,,,
Karnataka,CHIKKAMAGALURU,Kadur,61220,S.Bidre,700122,S. BIDARE,609662,S. BIDARE,CHIKKAMAGALURU,CHIKKAMAGALURU.xls,830,,,,,,,,
Karnataka,CHIKKAMAGALURU,Kadur,61192,EMMEDODDI,665727,SHAKUNIPURA,609383,Shankunipura,CHIKKAMAGALURU,CHIKKAMAGALURU.xls,861,,,,,,,,
Karnataka,CHIKKAMAGALURU,Tarikere,61297,SIDDARAHALLI,147649,SIDDARAHALLI,609223,Siddarahalli,CHIKKAMAGALURU,CHIKKAMAGALURU.xls,881,,,,,,,,
Karnataka,CHIKKAMAGALURU,Kadur,0,0,596556,SIDDEGOWDANA KOPPALU,609531,Angajanahalli,CHIKKAMAGALURU,CHIKKAMAGALURU.xls,883,,,,,,,,
Karnataka,CHIKKAMAGALURU,Kadur,300292,HARALAGATTA,664465,SRIRAMPURA,917153,SRIRAMPURA,CHIKKAMAGALURU,CHIKKAMAGALURU.xls,904,,,,,,,,
Karnataka,CHIKKAMAGALURU,Kadur,61188,Chikkadevanur,146938,THIPPAGONDANAHALLI,609482,Thippagondanahalli,CHIKKAMAGALURU,CHIKKAMAGALURU.xls,936,,,,,,,,
Karnataka,CHIKKAMAGALURU,Kadur,61183,BASUR,697144,V. SIDDARAHALLI,609647,V. SIDDARAHALLI,CHIKKAMAGALURU,CHIKKAMAGALURU.xls,965,,,,,,,,
Karnataka,CHIKKAMAGALURU,Kadur,61199,HULLEHALLI,147037,YAREHALLY,609374,YAREHALLY,CHIKKAMAGALURU,CHIKKAMAGALURU.xls,998,,,,,,,,
Karnataka,Chikkaballapura,Gudibanda,62600,BEECHAGANAHALLY,154725,BALENAHALLI,926148,BALENAHALLY(M),Chikkaballapura,Chikkaballapura.xls,86,,,,,,,,
Karnataka,Chikkaballapura,Chintamani,62536,Kurubur,154236,BANDARLAHALLY,624451,Bandarlahalli,Chikkaballapura,Chikkaballapura.xls,96,,,,,,,,
